Iteration, X position,Y position,Z position,X Velocity,Y Velocity,Z Velocity,Alpha,Phi,Omega 
45.000000 , 2.834949 , 0.020190 ,-1.419287 , 11.670274 ,0.241074 , -2.000456 ,11.053616 , 10.953956 ,49.673701 
46.000000 , 2.893208 , 0.021419 ,-1.429282 , 11.633276 ,0.250428 , -1.997554 ,11.062896 , 11.198509 ,49.670039 
47.000000 , 2.951283 , 0.022695 ,-1.439262 , 11.596507 ,0.259905 , -1.994263 ,11.074116 , 11.442486 ,49.666974 
48.000000 , 3.009174 , 0.024018 ,-1.449224 , 11.559960 ,0.269503 , -1.990602 ,11.087134 , 11.684991 ,49.664420 
49.000000 , 3.066883 , 0.025390 ,-1.459168 , 11.523630 ,0.279222 , -1.986587 ,11.101587 , 11.925317 ,49.662232 
50.000000 , 3.124410 , 0.026811 ,-1.469090 , 11.487514 ,0.289059 , -1.982233 ,11.116903 , 12.163048 ,49.660215 
51.000000 , 3.181758 , 0.028281 ,-1.478989 , 11.451609 ,0.299011 , -1.977552 ,11.132442 , 12.398100 ,49.658162 
52.000000 , 3.238927 , 0.029801 ,-1.488865 , 11.415912 ,0.309074 , -1.972550 ,11.147638 , 12.630645 ,49.655901 
53.000000 , 3.295918 , 0.031372 ,-1.498714 , 11.380422 ,0.319245 , -1.967234 ,11.162149 , 12.861101 ,49.653342 
54.000000 , 3.352731 , 0.032993 ,-1.508537 , 11.345138 ,0.329521 , -1.961610 ,11.175815 , 13.089965 ,49.650453 
55.000000 , 3.409369 , 0.034667 ,-1.518330 , 11.310058 ,0.339899 , -1.955680 ,11.188746 , 13.317707 ,49.647287 
56.000000 , 3.465832 , 0.036393 ,-1.528093 , 11.275181 ,0.350377 , -1.949451 ,11.201233 , 13.544673 ,49.643950 
57.000000 , 3.522121 , 0.038171 ,-1.537824 , 11.240506 ,0.360952 , -1.942928 ,11.213652 , 13.771055 ,49.640568 
58.000000 , 3.578238 , 0.040002 ,-1.547522 , 11.206029 ,0.371625 , -1.936119 ,11.226395 , 13.996800 ,49.637261 
59.000000 , 3.634182 , 0.041887 ,-1.557185 , 11.171749 ,0.382393 , -1.929033 ,11.239794 , 14.221724 ,49.634127 
60.000000 , 3.689955 , 0.043826 ,-1.566812 , 11.137662 ,0.393257 , -1.921679 ,11.254048 , 14.445523 ,49.631215 
61.000000 , 3.745559 , 0.045820 ,-1.576401 , 11.103765 ,0.404215 , -1.914068 ,11.269174 , 14.667860 ,49.628518 
62.000000 , 3.800993 , 0.047869 ,-1.585952 , 11.070055 ,0.415266 , -1.906207 ,11.285122 , 14.888399 ,49.626006 
63.000000 , 3.856260 , 0.049973 ,-1.595463 , 11.036530 ,0.426409 , -1.898107 ,11.301700 , 15.106919 ,49.623608 
64.000000 , 3.911359 , 0.052133 ,-1.604932 , 11.003186 ,0.437642 , -1.889773 ,11.318612 , 15.323345 ,49.621226 
65.000000 , 3.966292 , 0.054349 ,-1.614360 , 10.970021 ,0.448963 , -1.881212 ,11.335635 , 15.537695 ,49.618788 
66.000000 , 4.021060 , 0.056623 ,-1.623744 , 10.937035 ,0.460370 , -1.872429 ,11.352585 , 15.750090 ,49.616239 
67.000000 , 4.075663 , 0.058953 ,-1.633084 , 10.904225 ,0.471860 , -1.863428 ,11.369384 , 15.960730 ,49.613562 
68.000000 , 4.130102 , 0.061341 ,-1.642378 , 10.871591 ,0.483433 , -1.854213 ,11.386014 , 16.169815 ,49.610757 
69.000000 , 4.184379 , 0.063788 ,-1.651626 , 10.839129 ,0.495085 , -1.844788 ,11.402554 , 16.377513 ,49.607856 
70.000000 , 4.238494 , 0.066292 ,-1.660826 , 10.806840 ,0.506815 , -1.835157 ,11.419170 , 16.583918 ,49.604916 
71.000000 , 4.292448 , 0.068856 ,-1.669977 , 10.774721 ,0.518623 , -1.825325 ,11.436015 , 16.789062 ,49.601987 
72.000000 , 4.346241 , 0.071479 ,-1.679079 , 10.742769 ,0.530507 , -1.815297 ,11.453239 , 16.992906 ,49.599115 
73.000000 , 4.399875 , 0.074161 ,-1.688130 , 10.710984 ,0.542467 , -1.805079 ,11.470937 , 17.195317 ,49.596328 
74.000000 , 4.453351 , 0.076904 ,-1.697129 , 10.679363 ,0.554500 , -1.794675 ,11.489160 , 17.396167 ,49.593635 
75.000000 , 4.506669 , 0.079706 ,-1.706076 , 10.647904 ,0.566607 , -1.784091 ,11.507912 , 17.595320 ,49.591035 
76.000000 , 4.559831 , 0.082570 ,-1.714970 , 10.616605 ,0.578786 , -1.773333 ,11.527108 , 17.792664 ,49.588494 
77.000000 , 4.612836 , 0.085494 ,-1.723809 , 10.585464 ,0.591035 , -1.762404 ,11.546638 , 17.988148 ,49.585974 
78.000000 , 4.665685 , 0.088480 ,-1.732593 , 10.554479 ,0.603354 , -1.751309 ,11.566399 , 18.181751 ,49.583442 
79.000000 , 4.718381 , 0.091528 ,-1.741322 , 10.523649 ,0.615740 , -1.740052 ,11.586298 , 18.373505 ,49.580867 
80.000000 , 4.770922 , 0.094638 ,-1.749994 , 10.492972 ,0.628194 , -1.728635 ,11.606283 , 18.563515 ,49.578235 
81.000000 , 4.823311 , 0.097810 ,-1.758608 , 10.462447 ,0.640711 , -1.717062 ,11.626352 , 18.751862 ,49.575550 
82.000000 , 4.875547 , 0.101045 ,-1.767164 , 10.432072 ,0.653293 , -1.705336 ,11.646488 , 18.938631 ,49.572807 
83.000000 , 4.927632 , 0.104343 ,-1.775661 , 10.401847 ,0.665936 , -1.693460 ,11.666739 , 19.123887 ,49.570026 
84.000000 , 4.979566 , 0.107704 ,-1.784098 , 10.371769 ,0.678641 , -1.681436 ,11.687215 , 19.307664 ,49.567245 
85.000000 , 5.031350 , 0.111129 ,-1.792475 , 10.341838 ,0.691405 , -1.669267 ,11.707986 , 19.489942 ,49.564485 
86.000000 , 5.082984 , 0.114619 ,-1.800791 , 10.312052 ,0.704229 , -1.656958 ,11.729101 , 19.670691 ,49.561763 
87.000000 , 5.134470 , 0.118172 ,-1.809045 , 10.282408 ,0.717111 , -1.644512 ,11.750587 , 19.849857 ,49.559086 
88.000000 , 5.185809 , 0.121790 ,-1.817236 , 10.252906 ,0.730049 , -1.631931 ,11.772439 , 20.027366 ,49.556449 
89.000000 , 5.237000 , 0.125472 ,-1.825364 , 10.223544 ,0.743044 , -1.619219 ,11.794626 , 20.203175 ,49.553843 
90.000000 , 5.288044 , 0.129220 ,-1.833428 , 10.194321 ,0.756094 , -1.606380 ,11.817114 , 20.377241 ,49.551252 
91.000000 , 5.338943 , 0.133033 ,-1.841427 , 10.165235 ,0.769199 , -1.593415 ,11.839850 , 20.549555 ,49.548662 
92.000000 , 5.389697 , 0.136912 ,-1.849362 , 10.136284 ,0.782355 , -1.580327 ,11.862775 , 20.720151 ,49.546051 
93.000000 , 5.440306 , 0.140857 ,-1.857230 , 10.107468 ,0.795564 , -1.567120 ,11.885864 , 20.889070 ,49.543414 
94.000000 , 5.490772 , 0.144868 ,-1.865033 , 10.078786 ,0.808823 , -1.553794 ,11.909088 , 21.056349 ,49.540742 
95.000000 , 5.541094 , 0.148945 ,-1.872768 , 10.050236 ,0.822131 , -1.540352 ,11.932445 , 21.222033 ,49.538037 
96.000000 , 5.591274 , 0.153089 ,-1.880436 , 10.021816 ,0.835488 , -1.526797 ,11.955974 , 21.386172 ,49.535313 
97.000000 , 5.641313 , 0.157300 ,-1.888036 , 9.993527 ,0.848892 , -1.513130 ,11.979719 , 21.548778 ,49.532588 
98.000000 , 5.691210 , 0.161578 ,-1.895567 , 9.965366 ,0.862343 , -1.499353 ,12.003699 , 21.709861 ,49.529867 
99.000000 , 5.740967 , 0.165924 ,-1.903029 , 9.937333 ,0.875838 , -1.485469 ,12.027932 , 21.869424 ,49.527158 
100.000000 , 5.790583 , 0.170337 ,-1.910422 , 9.909425 ,0.889379 , -1.471479 ,12.052442 , 22.027442 ,49.524469 
101.000000 , 5.840061 , 0.174818 ,-1.917744 , 9.881643 ,0.902963 , -1.457387 ,12.077248 , 22.183871 ,49.521806 
102.000000 , 5.889400 , 0.179367 ,-1.924995 , 9.853984 ,0.916590 , -1.443194 ,12.102326 , 22.338692 ,49.519160 
103.000000 , 5.938601 , 0.183984 ,-1.932176 , 9.826447 ,0.930259 , -1.428902 ,12.127652 , 22.491884 ,49.516523 
104.000000 , 5.987665 , 0.188669 ,-1.939284 , 9.799032 ,0.943969 , -1.414514 ,12.153200 , 22.643440 ,49.513887 
105.000000 , 6.036592 , 0.193423 ,-1.946321 , 9.771737 ,0.957720 , -1.400030 ,12.178935 , 22.793381 ,49.511240 
106.000000 , 6.085382 , 0.198247 ,-1.953284 , 9.744561 ,0.971510 , -1.385454 ,12.204839 , 22.941742 ,49.508578 
107.000000 , 6.134037 , 0.203139 ,-1.960175 , 9.717503 ,0.985338 , -1.370786 ,12.230907 , 23.088546 ,49.505901 
108.000000 , 6.182557 , 0.208100 ,-1.966992 , 9.690562 ,0.999203 , -1.356029 ,12.257109 , 23.233811 ,49.503198 
109.000000 , 6.230943 , 0.213131 ,-1.973735 , 9.663737 ,1.013105 , -1.341183 ,12.283445 , 23.377564 ,49.500473 
110.000000 , 6.279195 , 0.218231 ,-1.980404 , 9.637026 ,1.027042 , -1.326250 ,12.309948 , 23.519839 ,49.497738 
111.000000 , 6.327314 , 0.223401 ,-1.986997 , 9.610430 ,1.041015 , -1.311232 ,12.336668 , 23.660665 ,49.495012 
112.000000 , 6.375300 , 0.228641 ,-1.993516 , 9.583947 ,1.055021 , -1.296130 ,12.363606 , 23.800013 ,49.492296 
113.000000 , 6.423153 , 0.233951 ,-1.999959 , 9.557576 ,1.069061 , -1.280946 ,12.390767 , 23.937883 ,49.489592 
114.000000 , 6.470875 , 0.239332 ,-2.006325 , 9.531315 ,1.083133 , -1.265681 ,12.418151 , 24.074268 ,49.486902 
115.000000 , 6.518467 , 0.244783 ,-2.012615 , 9.505164 ,1.097237 , -1.250338 ,12.445752 , 24.209150 ,49.484223 
116.000000 , 6.565927 , 0.250304 ,-2.018828 , 9.479122 ,1.111373 , -1.234917 ,12.473561 , 24.342514 ,49.481552 
117.000000 , 6.613258 , 0.255897 ,-2.024964 , 9.453188 ,1.125538 , -1.219421 ,12.501561 , 24.474388 ,49.478886 
118.000000 , 6.660459 , 0.261560 ,-2.031023 , 9.427361 ,1.139734 , -1.203850 ,12.529722 , 24.604747 ,49.476213 
119.000000 , 6.707532 , 0.267294 ,-2.037003 , 9.401640 ,1.153958 , -1.188206 ,12.558017 , 24.733580 ,49.473524 
120.000000 , 6.754476 , 0.273099 ,-2.042905 , 9.376023 ,1.168211 , -1.172490 ,12.586428 , 24.860911 ,49.470814 
121.000000 , 6.801292 , 0.278976 ,-2.048728 , 9.350511 ,1.182491 , -1.156704 ,12.614945 , 24.986797 ,49.468083 
122.000000 , 6.847981 , 0.284924 ,-2.054471 , 9.325102 ,1.196798 , -1.140848 ,12.643575 , 25.111318 ,49.465335 
123.000000 , 6.894543 , 0.290944 ,-2.060136 , 9.299795 ,1.211130 , -1.124923 ,12.672360 , 25.234458 ,49.462588 
124.000000 , 6.940979 , 0.297036 ,-2.065721 , 9.274590 ,1.225488 , -1.108932 ,12.701300 , 25.356225 ,49.459841 
125.000000 , 6.987289 , 0.303199 ,-2.071225 , 9.249485 ,1.239870 , -1.092874 ,12.730391 , 25.476631 ,49.457096 
126.000000 , 7.033474 , 0.309434 ,-2.076649 , 9.224480 ,1.254277 , -1.076752 ,12.759644 , 25.595673 ,49.454356 
127.000000 , 7.079534 , 0.315742 ,-2.081993 , 9.199574 ,1.268707 , -1.060566 ,12.789083 , 25.713334 ,49.451631 
128.000000 , 7.125470 , 0.322122 ,-2.087255 , 9.174766 ,1.283160 , -1.044319 ,12.818732 , 25.829585 ,49.448931 
129.000000 , 7.171282 , 0.328574 ,-2.092436 , 9.150055 ,1.297635 , -1.028010 ,12.848550 , 25.944424 ,49.446240 
130.000000 , 7.216971 , 0.335098 ,-2.097535 , 9.125440 ,1.312132 , -1.011642 ,12.878506 , 26.057834 ,49.443549 
131.000000 , 7.262537 , 0.341695 ,-2.102552 , 9.100920 ,1.326651 , -0.995215 ,12.908576 , 26.169819 ,49.440849 
132.000000 , 7.307980 , 0.348365 ,-2.107487 , 9.076495 ,1.341190 , -0.978730 ,12.938732 , 26.280409 ,49.438133 
133.000000 , 7.353302 , 0.355107 ,-2.112339 , 9.052163 ,1.355748 , -0.962190 ,12.968961 , 26.389655 ,49.435396 
134.000000 , 7.398502 , 0.361922 ,-2.117109 , 9.027924 ,1.370326 , -0.945593 ,12.999283 , 26.497579 ,49.432650 
135.000000 , 7.443581 , 0.368810 ,-2.121795 , 9.003778 ,1.384923 , -0.928942 ,13.029676 , 26.604197 ,49.429886 
136.000000 , 7.488540 , 0.375771 ,-2.126398 , 8.979723 ,1.399538 , -0.912237 ,13.060132 , 26.709529 ,49.427103 
137.000000 , 7.533379 , 0.382806 ,-2.130917 , 8.955758 ,1.414171 , -0.895480 ,13.090671 , 26.813594 ,49.424311 
138.000000 , 7.578098 , 0.389913 ,-2.135353 , 8.931884 ,1.428821 , -0.878671 ,13.121342 , 26.916408 ,49.421529 
139.000000 , 7.622698 , 0.397094 ,-2.139704 , 8.908098 ,1.443488 , -0.861811 ,13.152170 , 27.017964 ,49.418768 
140.000000 , 7.667179 , 0.404348 ,-2.143971 , 8.884401 ,1.458170 , -0.844901 ,13.183137 , 27.118235 ,49.416022 
141.000000 , 7.711542 , 0.411676 ,-2.148153 , 8.860791 ,1.472869 , -0.827943 ,13.214240 , 27.217209 ,49.413290 
142.000000 , 7.755787 , 0.419077 ,-2.152250 , 8.837268 ,1.487584 , -0.810937 ,13.245464 , 27.314880 ,49.410568 
143.000000 , 7.799915 , 0.426551 ,-2.156262 , 8.813830 ,1.502313 , -0.793885 ,13.276782 , 27.411244 ,49.407846 
144.000000 , 7.843925 , 0.434100 ,-2.160189 , 8.790478 ,1.517057 , -0.776787 ,13.308179 , 27.506338 ,49.405121 
145.000000 , 7.887820 , 0.441722 ,-2.164030 , 8.767211 ,1.531814 , -0.759644 ,13.339656 , 27.600192 ,49.402395 
146.000000 , 7.931598 , 0.449418 ,-2.167785 , 8.744027 ,1.546586 , -0.742457 ,13.371166 , 27.692759 ,49.399650 
147.000000 , 7.975260 , 0.457188 ,-2.171454 , 8.720925 ,1.561370 , -0.725228 ,13.402682 , 27.784033 ,49.396875 
148.000000 , 8.018807 , 0.465032 ,-2.175037 , 8.697906 ,1.576168 , -0.707956 ,13.434192 , 27.874045 ,49.394068 
149.000000 , 8.062239 , 0.472950 ,-2.178534 , 8.674969 ,1.590978 , -0.690644 ,13.465707 , 27.962866 ,49.391237 
150.000000 , 8.105557 , 0.480942 ,-2.181944 , 8.652113 ,1.605799 , -0.673290 ,13.497255 , 28.050606 ,49.388397 
151.000000 , 8.148760 , 0.489008 ,-2.185267 , 8.629337 ,1.620632 , -0.655897 ,13.528879 , 28.137252 ,49.385564 
152.000000 , 8.191850 , 0.497148 ,-2.188503 , 8.606641 ,1.635475 , -0.638464 ,13.560608 , 28.222753 ,49.382750 
153.000000 , 8.234827 , 0.505362 ,-2.191651 , 8.584024 ,1.650330 , -0.620994 ,13.592456 , 28.307122 ,49.379964 
154.000000 , 8.277691 , 0.513651 ,-2.194713 , 8.561484 ,1.665195 , -0.603486 ,13.624427 , 28.390348 ,49.377206 
155.000000 , 8.320442 , 0.522014 ,-2.197686 , 8.539022 ,1.680071 , -0.585941 ,13.656508 , 28.472389 ,49.374473 
156.000000 , 8.363081 , 0.530452 ,-2.200572 , 8.516637 ,1.694956 , -0.568362 ,13.688677 , 28.553182 ,49.371754 
157.000000 , 8.405608 , 0.538964 ,-2.203370 , 8.494328 ,1.709851 , -0.550748 ,13.720897 , 28.632753 ,49.369038 
158.000000 , 8.448024 , 0.547550 ,-2.206079 , 8.472094 ,1.724756 , -0.533101 ,13.753116 , 28.711120 ,49.366305 
159.000000 , 8.490330 , 0.556211 ,-2.208701 , 8.449935 ,1.739669 , -0.515421 ,13.785294 , 28.788268 ,49.363539 
160.000000 , 8.532524 , 0.564947 ,-2.211233 , 8.427849 ,1.754592 , -0.497710 ,13.817406 , 28.864226 ,49.360732 
161.000000 , 8.574608 , 0.573757 ,-2.213678 , 8.405837 ,1.769522 , -0.479967 ,13.849447 , 28.939075 ,49.357886 
162.000000 , 8.616582 , 0.582642 ,-2.216033 , 8.383898 ,1.784461 , -0.462193 ,13.881431 , 29.012931 ,49.355009 
163.000000 , 8.658447 , 0.591602 ,-2.218300 , 8.362031 ,1.799406 , -0.444389 ,13.913418 , 29.085783 ,49.352129 
164.000000 , 8.700203 , 0.600636 ,-2.220477 , 8.340236 ,1.814359 , -0.426556 ,13.945437 , 29.157636 ,49.349256 
165.000000 , 8.741850 , 0.609746 ,-2.222565 , 8.318512 ,1.829320 , -0.408693 ,13.977506 , 29.228503 ,49.346400 
166.000000 , 8.783388 , 0.618930 ,-2.224564 , 8.296859 ,1.844286 , -0.390803 ,14.009647 , 29.298360 ,49.343571 
167.000000 , 8.824818 , 0.628189 ,-2.226473 , 8.275275 ,1.859260 , -0.372885 ,14.041888 , 29.367145 ,49.340780 
168.000000 , 8.866141 , 0.637522 ,-2.228293 , 8.253759 ,1.874241 , -0.354942 ,14.074223 , 29.434807 ,49.338025 
169.000000 , 8.907356 , 0.646931 ,-2.230022 , 8.232312 ,1.889228 , -0.336973 ,14.106591 , 29.501342 ,49.335281 
170.000000 , 8.948464 , 0.656415 ,-2.231662 , 8.210933 ,1.904221 , -0.318981 ,14.138957 , 29.566731 ,49.332534 
171.000000 , 8.989466 , 0.665973 ,-2.233212 , 8.189621 ,1.919221 , -0.300964 ,14.171279 , 29.630992 ,49.329770 
172.000000 , 9.030361 , 0.675607 ,-2.234672 , 8.168375 ,1.934226 , -0.282925 ,14.203509 , 29.694180 ,49.326971 
173.000000 , 9.071149 , 0.685315 ,-2.236041 , 8.147195 ,1.949237 , -0.264863 ,14.235647 , 29.756350 ,49.324138 
